"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","test"
"681",1968,"10","30-44",2,4,32
"682",1968,"10","30-44",2,5,40
"683",1968,"10","30-44",2,6,224
"684",1968,"10","30-44",3,9,44
"685",1968,"10","30-44",4,9,4
"686",1968,"10","30-44",6,9,12680
"687",1968,"10","45-59",1,1,4200
"688",1968,"10","45-59",1,2,3244
"689",1968,"10","45-59",1,3,1132
"690",1968,"10","45-59",1,4,2972
"691",1968,"10","45-59",1,5,5120
"692",1968,"10","45-59",1,6,11908
"693",1968,"10","45-59",2,3,4
"694",1968,"10","45-59",2,4,20
"695",1968,"10","45-59",2,5,48
"696",1968,"10","45-59",2,6,212
"697",1968,"10","45-59",3,9,4
"698",1968,"10","45-59",5,8,2860
"699",1968,"10","45-59",6,9,8460
"700",1968,"10","60-74",1,1,2340
"701",1968,"10","60-74",1,2,1540
"702",1968,"10","60-74",1,3,320
"703",1968,"10","60-74",1,4,716
"704",1968,"10","60-74",1,5,1556
"705",1968,"10","60-74",1,6,3820
"706",1968,"10","60-74",2,5,12
"707",1968,"10","60-74",2,6,68
"708",1968,"10","60-74",5,8,19976
"709",1968,"10","60-74",6,9,7204
